2
TESLA INC.|A1CX3T|TSLA|19
03/14/2025,249.98,100242300,247.31,251.58,240.73
03/13/2025,240.68,114813500,248.125,248.29,232.6
03/12/2025,248.09,142215700,247.22,251.84,241.1
03/11/2025,230.58,174896400,225.305,237.065,217.02
03/10/2025,222.15,189076900,252.535,253.37,220
03/07/2025,262.67,102369600,259.32,266.25,250.73
03/06/2025,263.45,98451570,272.06,272.65,260.02
03/05/2025,279.1,94042910,272.92,279.55,267.71
03/04/2025,272.04,126706600,270.93,284.35,261.84
03/03/2025,284.65,115551400,300.34,303.94,277.3
02/28/2025,292.98,115697000,279.5,293.88,273.6
02/27/2025,281.95,101748200,291.16,297.23,280.88
02/26/2025,290.8,100118300,303.715,309,288.04
02/25/2025,302.8,134228800,327.025,328.89,297.251
02/24/2025,330.53,76052320,338.14,342.397,324.7
02/21/2025,337.8,74058650,353.44,354.98,334.42
02/20/2025,354.4,45965350,361.51,362.3,348
02/19/2025,360.56,67094370,354,367.34,353.67
02/18/2025,354.11,51631700,355.01,359.1,350.02
APPLE INC.|865985|AAPL|19
03/14/2025,213.49,60107580,211.25,213.95,209.58
03/13/2025,209.68,61368330,215.95,216.839,208.42
03/12/2025,216.98,62547470,220.14,221.75,214.91
03/11/2025,220.84,76137410,223.805,225.84,217.45
03/10/2025,227.48,72071200,235.54,236.16,224.22
03/07/2025,239.07,46273570,235.105,241.37,234.76
03/06/2025,235.33,45170420,234.435,237.86,233.158
03/05/2025,235.74,47227640,235.42,236.55,229.23
03/04/2025,235.93,53798060,237.705,240.07,234.68
03/03/2025,238.03,47183990,241.79,244.027,236.112
02/28/2025,241.84,56833360,236.95,242.09,230.2
02/27/2025,237.3,41153640,239.41,242.46,237.06
02/26/2025,240.36,44433560,244.33,244.98,239.13
02/25/2025,247.04,48013270,248,250,244.91
02/24/2025,247.1,51326400,244.925,248.86,244.42
02/21/2025,245.55,53197430,245.95,248.69,245.22
02/20/2025,245.83,32316910,244.94,246.78,244.29
02/19/2025,244.87,32204220,244.66,246.01,243.16
02/18/2025,244.47,48822490,244.15,245.18,241.84
